ID	sentence	question	1	2	Answer
1	이퀄라이저로 저음 음역대 소리 크기를 키웠다.	결과	베이스 소리가 잘 들리게 되었다.	소프라노 음역대 소리가 잘 들리게 되었다.	1
2	음료에 초콜렛 시럽을 넣었다.	결과	음료수가 더 달아졌다.	음료수가 차가워졌다.	1
3	남자는 휴대폰을 호수에 빠뜨렸다.	결과	휴대폰 소프트웨어가 업데이트 되었다.	휴대폰이 고장났다.	2
4	옆 집 사람이 이사를 나갔다.	원인	옆 집 사람의 월세 계약 기간이 만료되었다.	옆 집 사람이 월세 계약 기간을 연장하였다.	1
5	도어락 비밀번호를 입력했다.	결과	문이 열렸다.	문을 걸쇠로 잠갔다.	1
6	만년설이 녹았다.	원인	지구의 기온이 내려갔다.	지구 온난화가 가속화 되었다.	2
7	여자가 촛불을 불었다.	결과	촛불이 꺼졌다.	촛불이 활활 타오른다.	1
8	여자가 검은 선글라스를 썼다	원인	밖이 아주 어두웠다	바깥에 해가 내리쬐었다.	2
9	여성이 다이빙대에서 뛰어내렸다.	결과	여성이 수영장에 빠졌다.	여성이 준비운동을 했다.	1
10	소녀의 얼굴이 창백해졌다.	원인	소녀가 로맨스 영화를 보았다.	소녀가 무서운 영화를 봤다.	2
11	이불에 커피를 쏟았다.	결과	이불이 잘 말랐다.	이불이 젖었다.	2
12	욕조 물이 내려가지 않는다.	원인	배수구 고무 마개를 뽑았다.	고무 마개를 배수구에 꽂았다.	2
13	학생이 교칙을 어겼다.	결과	학생은 선생님께 칭찬을 받았다.	학생은 선생님께 꾸중을 들었다.	2
14	남자가 승진을 했다.	원인	남자가 프로젝트에서 실적을 내지 못하였다.	남자가 큰 프로젝트를 성공시켰다.	2
15	남자가 아내에게 유언을 남겼다.	원인	남자의 아내가 사망했다.	남자가 죽음을 앞두고 있다.	2
16	자국의 군대가 적국 군대에게 항복했다.	원인	자국의 군대가 수적으로 열세였다.	자국의 군대가 적국의 도시를 점령했다.	1
17	남자가 공황발작을 일으켰다.	원인	남자가 공황장애를 앓고 있었다.	남자가 공황장애 약을 복용했다.	1
18	캠프에 온 학생들이 공포에 질렸다.	원인	캠프 교관이 귀신 이야기를 했다.	캠프파이어에서 마시멜로를 구워먹었다.	1
19	스피커 근처에 마이크를 가져다대었다.	결과	스피커에서 어떠한 소리도 나지 않았다.	큰 소리가 방 안에 울려퍼졌다.	2
20	여성이 남성을 경찰에 신고했다.	원인	남성이 경찰차에서 내렸다.	여성이 남성의 범죄현장을 목격했다.	2
21	도시가스 요금이 연체되었다.	결과	납부 기한을 지키지 못했다.	난방이 중단되었다.	2
22	만두를 찜기에 넣었다.	결과	만두를 빚었다.	만두가 알맞게 익었다.	2
23	여자가 전기차에 플러그를 꽂았다.	결과	전기차가 충전되었다.	전기차가 방전되었다.	1
24	딸이 알레르기 발작을 일으켰다.	결과	딸을 응급실에 데려갔다.	딸을 응급실에서 퇴원시켰다.	1
25	플라스틱 케이스에 물건을 담았다.	결과	케이스가 흔들릴 때마다 요란한 소리가 난다.	케이스에 녹이 슬었다.	1
26	여자가 마트에서 할인 쿠폰을 사용했다.	결과	물건을 판매가보다 저렴하게 구입했다.	물건을 판매가보다 비싼 값에 구입했다.	1
27	여자가 옷장을 열었다.	결과	여자가 신발을 꺼냈다.	여자가 코트를 꺼냈다.	2
28	아기가 잠들었다.	원인	아빠가 아이를 안고 토닥거렸다.	아빠가 아이를 깨웠다.	1
29	초밥에서 매운 맛이 심하게 났다.	원인	초밥에 와사비가 많이 들어갔다.	초밥을 간장에 찍었다.	1
30	ATM에서 현금 인출 버튼을 눌렀다.	결과	투입구에서 지폐가 나왔다.	지폐를 투입구에 넣었다.	1
31	자전거 바퀴가 터졌다.	결과	자전거 바퀴에 공기를 넣었다.	자전거 바퀴를 교체했다.	2
32	조개가 입을 벌렸다.	원인	조개를 석쇠에 구웠다.	조개를 물에서 꺼냈다.	1
33	도마에서 생선을 손질했다.	결과	도마에서 단내가 난다.	도마에서 비린내가 난다.	2
34	기자들이 취재를 했다.	원인	문화재가 발견되었다.	신문이 발행되었다.	1
35	팔에 피가 난다.	원인	고양이가 팔을 할퀴었다.	고양이가 팔을 핥았다.	1
36	아이들이 한복을 입었다.	원인	오늘은 설날이다.	오늘은 크리스마스이다.	1
37	여자는 심호흡을 했다.	원인	여자가 긴장했다.	여자가 기절했다.	1
38	하늘에 먹구름이 끼었다.	결과	여자가 양산을 펼쳤다.	여자가 집에 우산을 가지러 갔다.	2
39	남자의 바이올린 연주 실력이 늘었다.	원인	남자가 바이올린을 구매했다.	남자가 바이올린 연습을 열심히 했다.	2
40	위조문서가 발견되었다.	결과	필적을 감정했다.	문서에 도장을 찍었다.	1
41	녹은 아이스팩을 냉동고에 넣었다.	결과	아이스팩이 미지근해졌다.	아이스팩이 얼었다.	2
42	여성의 이에 음식물이 꼈다.	결과	여성이 치실을 사용했다.	여성이 고추가루가 들어간 음식을 먹었다.	1
43	남성이 오디션 프로그램에 출연했다.	결과	남성의 인스타그램 팔로워 수가 늘어났다.	남성이 인스타그램에 오디션 참가 영상을 업로드했다.	1
44	주전자에 담긴 물이 끓기 시작했다.	결과	주전자가 차가워졌다.	주전자에서 수증기가 나온다.	2
45	손톱을 깎았다.	원인	손톱이 길어졌다.	손톱에 네일아트를 받았다.	1
46	여드름이 터졌다.	원인	여드름을 면봉으로 세게 눌렀다.	여드름 위에 연고를 발랐다.	1
47	수영장 바닥에 발이 닿지 않았다.	원인	수심이 깊은 곳에 들어갔다.	수심이 얕은 곳에 들어갔다.	1
48	그가 감옥에 갔다.	원인	그가 벌금을 납부했다.	그가 중범죄를 저질렀다.	2
49	키친타올로 가스레인지 주변을 닦는다.	원인	가스레인지 주변에 기름이 많이 튀었다.	가스레인지에 물을 올렸다.	1
50	소녀의 아버지가 소녀를 훈육한다.	원인	소녀가 소녀의 아버지에게 존댓말을 했다.	소녀가 소녀의 아버지에게 거짓말을 했다.	2
51	버스를 놓쳤다.	결과	약속장소에 늦게 도착했다.	버스 정류장에 버스 출발시간보다 늦게 도착했다.	1
52	당사자 둘이 분쟁 합의를 보았다.	원인	그들은 법정에서 담판을 짓고자 했다.	그들은 법정에서 논쟁하길 원치 않았다.	2
53	유선 전화기 플러그를 뽑았다.	결과	전화가 걸리지 않았다.	전화벨이 울렸다.	1
54	여성이 발목에 염증이 생겼다.	결과	여성이 소염제를 먹었다.	여성이 뛰다가 발목을 접질렀다.	1
55	안전요원이 호루라기를 불기 시작했다.	원인	사람들이 위험 구역으로 접근했다.	사람들이 위험 구역에서 구조되었다.	1
56	아이가 늦게까지 깨어 있었다.	원인	아이가 낮잠을 많이 잤다.	아이가 신나게 뛰어 놀았다.	1
57	늦잠을 잤다.	원인	알람 소리를 듣지 못했다.	알람을 맞췄다.	1
58	아이가 트램펄린에 착륙했다.	결과	아이가 공중으로 다시 솟아올랐다.	아이의 머리에서 피가 났다.	1
59	남자가 자전거를 도둑맞았다.	원인	남자가 자전거를 집 안에 보관했다.	남자가 자전거에 자물쇠를 채우지 않았다.	2
60	요리사는 그릇에 계란을 쳤다.	결과	계란 껍질이 갈라졌다.	계란이 익었다.	1
61	귀에서 피가 났다.	원인	귀에 염증이 생겼다.	귀에 물이 들어갔다.	1
62	여자가 아이를 데리고 소아과에 갔다.	원인	아이의 기침이 멈췄다.	아이가 아프다.	2
63	아이가 자리를 양보했다.	원인	버스에 남는 자리가 많았다.	버스에 임산부가 탑승했다.	2
64	여자가 남자를 경찰에 신고했다.	원인	여자는 남자가 물건을 훔치는 것을 보았다.	남자가 경찰서에 연행되었다.	1
65	남자가 급하게 화장실로 뛰어갔다.	원인	남자는 배가 불렀다.	남자가 배탈이 났다.	2
66	남자의 손에 복숭아 즙이 묻었다.	원인	남자가 복숭아를 맨손으로 집어 먹었다.	남자가 손을 닦았다.	1
67	모기향을 피웠다.	원인	방에서 모기를 발견했다. 	모기를 손으로 잡았다.	1
68	여자는 주말마다 교회에 갔다.	원인	여자는 기독교 신자였다.	여자는 불교 신자였다.	1
69	올림픽을 보는 사람들이 환호한다.	원인	국가대표 선수가 금메달을 획득했다.	국가대표 선수가 부상을 입었다.	1
70	수면양말을 신었다.	원인	발이 시렵다.	발이 따뜻해졌다.	1
71	남자가 콩고기를 먹었다.	원인	남자가 채식주의를 하기로 마음 먹었다.	남자가 육식소비를 하기로 마음 먹었다.	1
72	라디오의 볼륨을 줄였다.	원인	라디오에서 소리가 나오지 않는다.	라디오에서 소리가 크게 나온다.	2
73	화장실 벽에 곰팡이가 생겼다.	결과	벽에 락스를 뿌렸다.	벽에 물을 뿌렸다.	1
74	지갑에 현금이 없다.	결과	갖고 있는 돈을 모두 은행에 예금했다.	현금인출기에서 현금을 인출했다.	2
75	남자가 직원에게 병따개를 달라고 했다.	원인	남자는 맥주병의 뚜껑을 따려고 한다.	남자는 캔뚜껑을 따려고 한다.	1
76	영화가 인기를 끌었다.	결과	상영관 수가 증가했다.	영화관에서 영화 상영을 중단했다.	1
77	양파가 투명해졌다.	원인	양파를 볶았다.	양파를 잘게 썰었다.	1
78	소방관들이 급하게 출동했다.	원인	절도 사건이 발생했다.	산불이 발생했다.	2
79	남자가 기차역에 일찍 도착했다.	결과	남자가 기차를 놓쳤다.	남자가 기차를 탔다.	2
80	남자가 종이에 손을 베였다.	결과	남자가 종이를 잘랐다.	남자의 손에서 피가 난다.	2
