ID	Sentence	Label
1	_¬´   ì§__ ¤ì_ ¤ë¥¸ __ êµ¬ë§¤__ê³ ´ì_	0
2	ë³__¤ì_ ê¸¨ê ì§__!	0
3	__ ì¤__ __ ë²__ ê³__¬ì_	0
4	__°ë_ _£¼ ¤ì_____.	1
5	ë§__ ë§¤ë_¬ì_	1
6	ê¸ ë¶__ __´êê³ __ __¤ì_	0
7	__ ¬ë_! ë¦¬ë·°°ê_ ë§__¤ì_ __	1
8	ë¶__ê¸ ½ê_ __¼ì_ ì¢__	1
9	__¤ì_ ì¢____ ë¨¸ë¦¬ __ ê·½ë_ê³  ____ ê°__ ¶ë_ê³ __	1
10	ì¢__¤ì_	1
11	´í_ê²  µë_	1
12	__ ±ë_  ì¢__~~	1
13	´ê±´ ì§__ ì¢__	1
14	__ê° ë§__ ¤ì___	1
15	ê¸°ë ë§__ __ __ë³´ë_ ì¿¨í_ì§ __	0
16	_©´¬ê¸°ê° _¬´ __ ë³__	0
17	__ì²__ ¥ì_ ¤ë_ê°ì§ ____	0
18	ì¢__ ¼ì __  ë¹__	1
19	ê´__ __	0
20	´ê_ ±í_ ì¢_ê° __	0
21	ë°°ì_ _¦¬ê³ ê°ê²©ì_ ì¡°ê_ ë¹__ ê² ê°____.	0
22	ì»¤ì_ ê½__ __¬ìê² __ê² ____	1
23	ì¤__¸ë_ _¬´ ê¹¨ë_´ì_!	1
24	´ê±° __ ______	1
25	ë¹¨ëê° _¬´ __ë³´ë_ ì§§ê_ ë¶_¦¬ _¬´ ½ê_ ©ë_.	0
26	¤ë¥¸°ë³´ 2000__ ë¹__ê² ì£¼ê_ ¤ì_	0
27	 __ __ì£¼ì_ ê°__´ì_	1
28	__ ¥ë___	0
29	ë¶__ë¬¼ì_ ë§__ __ __	0
30	ë¹_¸°ê¸ _¬´ ½ê_ ì¢__. ê·¸ë¦½ê°__ ì¢__	1
31	¸ê_ ì¢____!	1
32	ë°°ì_ __ ê½__¤ì_	0
33	ë³´ë_ ì£¼ë¬¸__ _¬´ __ ¸ì_´ë_ ì¢__´ì_	1
34	 ì¤ __ê° ê¹¨ì_ _°©__!	0
35	 ê°ì§ê³ __ ì¢__	1
36	ë¹__ì²____	0
37	´ê_ë§ ¨ì_   ì¢__	1
38	__ë§__ ê·¬ì_ ë§_¡±´ì_	1
39	_¬´ ì§ë¶__ _°¸ _´ì_!	0
40	__ë³´ë_ __ ê²¬ê_ ê² ê°__ ì¢__!	1
41	´ë¦¬__°ê _¬´ ë§__ __ ·ì_ ë³´í_¼ê¸° ê¸_°© ¬ì___.	0
42	¼ê_ ë¹_... __ ë¬´ì_ __ __ __¤ì_.	0
43	´í_ ê°ê²©ì_ ë¬´ë_ë°°ì_ê¹_ ìµ__¤ì_	1
44	ê¸____.  ì¢  ë³´í_ ´ê±° ¬ì_.	1
45	ë¬´ë_ _£¼  ¬ì___ __.^^	1
46	__°ì_ ¸í_  ë§_ì§  	0
47	ì¶©ì_ê¸°ë °ë_ êµ¬ë§¤´ì_ __ê² ì¢ ë§__ ë²_±°ë¡__	0
48	__ _¬´ ë¹¨ë_ ì¢__. ê°±ë_ ê°____	1
49	__ ¼ì __ __©ë_!	1
50	 ë°_¦¬ê³ °ê¸°¸í_ ë§_¡±©ë_..	1
51	ë¦¬ëª¨ì½ ¬ì_ë²__ _¬´ ë³µì_©ë_.	0
52	__ _£¼  ë§_¡±¤ë_µë_	1
53	¼í_©ì_ê° __ __  ì°_ì¡____.	0
54	___¼°__ °ë³´¼ë ë³´ë_¤ë_.. ´ê_ ë­¡ë_ê¹	0
55	_£¼ ì¢_ ____. _·¹ ì¶__´ì_	1
56	¤í_ì» __ê° __ _¸° ¼ì_ ¼ë_ê² ____.	0
57	"__ ì¢__, ë°°ì_ ë¹¨ë_"	1
58	ë§__ê³ __ _¬´ __¤ì_!	1
